ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Gender_cat,Married_cat,Dependents_cat,Education_cat,Self_Employed_cat,Property_Area_cat,Loan_Status_cat
2192,1742,45000,360,1,2,2,4,1,1,1,1
2500,0,55000,360,1,2,1,2,0,1,1,1
5677,1424,100000,360,1,2,2,5,0,2,0,1
7948,7166,480000,360,1,2,2,4,0,2,0,1
4680,2087,110000,360,1,2,1,2,0,1,1,0
17500,0,400000,360,1,2,2,4,0,2,0,1
3775,0,110000,360,1,2,2,2,0,1,1,1
5285,1430,161000,360,0,2,2,3,1,1,1,1
2679,1302,94000,360,1,2,1,3,1,1,1,1
6783,0,130000,360,1,2,1,2,1,1,1,1
1025,5500,216000,360,1,2,2,2,0,1,0,1
4281,0,100000,360,1,2,2,5,0,1,2,1
3588,0,110000,360,0,2,1,4,0,1,0,0
11250,0,196000,360,1,2,1,3,0,1,1,0
18165,0,125000,360,1,1,1,2,1,2,2,1
2550,2042,126000,360,1,2,1,2,1,0,0,1
6133,3906,324000,360,1,2,2,2,0,1,2,1
3617,0,107000,360,1,2,1,4,0,1,1,1
2917,536,66000,360,1,2,2,2,1,1,0,0
6417,0,157000,180,1,2,2,5,0,1,0,1
4608,2845,140000,180,1,1,2,3,0,1,1,1
2138,0,99000,360,0,1,1,2,0,1,1,0
3652,0,95000,360,1,1,1,3,0,0,1,1
2239,2524,128000,360,1,2,2,3,1,1,2,1
3017,663,102000,360,1,1,2,2,1,1,1,1
2768,1950,155000,360,1,2,2,2,0,1,0,1
3358,0,80000,36,1,2,1,2,1,1,1,0
2526,1783,145000,360,1,2,1,2,0,1,0,1
5000,0,103000,360,0,1,1,2,0,1,1,0
2785,2016,110000,360,1,2,2,2,0,1,0,1
6633,0,286000,360,0,2,2,4,0,2,0,0
2492,2375,112000,360,1,2,2,3,1,1,0,1
3333,3250,158000,360,1,2,2,3,0,1,2,1
2454,2333,181000,360,0,2,2,2,1,1,2,0
3593,4266,132000,180,0,2,2,2,0,1,0,0
5468,1032,26000,360,1,2,2,3,0,1,1,1
2667,1625,84000,360,1,1,1,2,0,1,2,1
10139,0,260000,360,1,2,2,5,0,2,1,1
3887,2669,162000,360,1,2,2,2,0,1,1,1
4180,2306,182000,360,1,1,2,2,0,1,1,1
3675,242,108000,360,1,2,2,4,1,1,1,1
19484,0,600000,360,1,1,2,3,0,2,1,1
5923,2054,211000,360,1,2,2,2,0,1,0,1
5800,0,132000,360,1,2,1,2,1,2,1,1
8799,0,258000,360,0,2,2,4,0,1,2,0
4467,0,120000,360,1,2,2,2,1,1,0,1
3333,0,70000,360,1,2,1,2,0,1,2,1
3400,2500,123000,360,0,2,2,5,0,1,0,0
2378,0,9000,360,1,1,1,2,0,1,2,0
3166,2064,104000,360,0,2,2,2,0,1,2,0
3417,1750,186000,360,1,2,2,3,0,1,2,1
5116,1451,165000,360,0,2,2,0,0,1,2,0
16666,0,275000,360,1,2,2,4,0,1,2,1
6125,1625,187000,480,1,2,2,4,1,1,1,0
6406,0,150000,360,1,2,2,5,0,1,1,0
3159,461,108000,84,1,2,2,4,0,1,2,1
3087,2210,136000,360,0,0,2,2,0,1,1,0
3229,2739,110000,360,1,2,1,2,0,1,2,1
1782,2232,107000,360,1,2,2,3,0,1,0,1
3182,2917,161000,360,1,2,1,2,0,0,2,1
6540,0,205000,360,1,2,2,4,0,1,1,1
1836,33837,90000,360,1,2,1,2,0,1,2,0
3166,0,36000,360,1,1,2,2,0,1,1,1
1880,0,61000,360,1,2,2,3,0,1,0,0
2787,1917,146000,360,0,2,2,3,0,1,0,0
4283,3000,172000,84,1,2,2,3,0,1,0,0
2297,1522,104000,360,1,2,2,2,0,1,2,1
2165,0,70000,360,1,1,1,2,1,1,1,1
4750,0,94000,360,1,0,1,2,0,1,1,1
2726,0,106000,360,0,2,2,4,0,2,1,0
3000,3416,56000,180,1,2,2,2,0,1,1,1
6000,0,205000,240,1,2,2,4,0,2,1,0
9357,0,292000,360,1,0,1,5,0,2,1,1
3859,3300,142000,180,1,2,2,2,0,1,0,1
16120,0,260000,360,1,2,2,2,0,2,2,1
3833,0,110000,360,1,2,1,2,1,1,0,1
6383,1000,187000,360,1,2,2,4,1,2,0,0
2987,0,88000,360,0,2,1,0,0,1,1,0
9963,0,180000,360,1,2,2,2,0,2,0,1
5780,0,192000,360,1,2,2,4,0,1,2,1
416,41667,350000,180,1,1,1,5,0,0,2,0
2894,2792,155000,360,1,2,2,2,1,0,0,1
5703,0,128000,360,1,2,2,5,0,1,2,1
3676,4301,172000,360,1,2,1,2,0,1,0,1
12000,0,496000,360,1,1,2,3,0,1,1,1
2400,3800,120000,180,1,2,2,2,1,1,2,0
3400,2500,173000,360,1,2,2,3,0,1,1,1
3987,1411,157000,360,1,2,2,4,1,1,0,1
3232,1950,108000,360,1,2,2,2,0,1,0,1
2900,0,71000,360,1,1,1,2,0,1,0,1
4106,0,40000,180,1,2,2,5,0,1,0,1
8072,240,253000,360,1,2,2,3,0,1,2,1
7583,0,187000,360,1,2,2,4,0,1,2,1
4583,0,133000,360,0,1,1,2,0,2,1,0
